---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                       Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SRR5195108.bin.4           k__Archaea (UID2)              207         145           103         3     54    87   1    0    0       98.06           55.50              70.00
  SRR5195108.bin.46         k__Bacteria (UID203)            5449        103            57         3     3     6    14   18   59      97.93           353.51              8.70
  SRR5195108.bin.2           k__Archaea (UID2)              207         145           103         6    136    3    0    0    0       95.15            2.43              33.33
  SRR5195108.bin.45          k__Archaea (UID2)              207         145           103         8    133    4    0    0    0       93.69            3.24              25.00
  SRR5195108.bin.31         k__Bacteria (UID203)            5449        104            58         13    13    21   20   25   12      93.42           233.78              3.55
  SRR5195108.bin.55         k__Bacteria (UID203)            5449        104            58         17    40    29   16   2    0       89.66           58.73              28.09
  SRR5195108.bin.50        k__Bacteria (UID2982)             88         230           148         26   195    9    0    0    0       87.69            4.48              44.44
  SRR5195108.bin.37        k__Bacteria (UID3187)            2258        181           110         22   152    6    1    0    0       87.54            5.51               0.00
  SRR5195108.bin.58    o__Sphingomonadales (UID3310)         26         569           293        114   438    17   0    0    0       84.49            3.41              64.71
  SRR5195108.bin.28     o__Actinomycetales (UID1808)        268         395           220         67   296    30   2    0    0       83.04            5.91              25.00
  SRR5195108.bin.21   c__Gammaproteobacteria (UID4202)       67         481           276        119   188   111   48   6    9       81.45           65.10              10.58
  SRR5195108.bin.24        k__Bacteria (UID3187)            2258        188           117         43   137    7    1    0    0       81.34            4.02               0.00
  SRR5195108.bin.59          k__Archaea (UID2)              207         145           103         34    97    13   1    0    0       80.08           10.76              12.50
  SRR5195108.bin.43        k__Bacteria (UID1453)            901         171           117         61   102    7    1    0    0       67.83            5.98              40.00
  SRR5195108.bin.5         k__Bacteria (UID1453)            901         171           117         45   123    3    0    0    0       66.24            1.03               0.00
  SRR5195108.bin.61      p__Bacteroidetes (UID2591)         364         302           203        135   163    4    0    0    0       62.44            1.48               0.00
  SRR5195108.bin.17        k__Bacteria (UID2982)             88         230           148         84   128    18   0    0    0       60.43            4.72               5.56
